room_name,capacity,block
Block9_101,30,Block 9
Block9_102,72,Block 9
Block9_103,30,Block 9
Block9_104,72,Block 9
Block9_105,30,Block 9
Block9_106,30,Block 9
Block9_107,72,Block 9
Block9_108,30,Block 9
Block9_109,72,Block 9
Block9_110,30,Block 9
Block9_301,30,Block 9
Block9_302,30,Block 9
Block9_303,72,Block 9
Block9_304,30,Block 9
Block9_305,30,Block 9
Block9_306,30,Block 9
Block9_307,30,Block 9
Block9_308,55,Block 9
Block9_309,30,Block 9
Block9_310,30,Block 9
Block9_409,25,Block 9
Block9_410,25,Block 9
Block9_502,90,Block 9
LT001,70,LT
LT101,70,LT
LT002,70,LT
LT003,70,LT
LT103,70,LT
